comparison,input,target,dataset,split,sequence_name,sensor,valid_frames,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,energy_a,energy_b,root_abs_mean_aM_rel,leakage_raw_corr,leakage_rel_corr
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,right_forearm,582,0.1781059056520462,0.4220259487628937,0.266281396150589,0.5554690957069397,0.9409868121147156,0.38903868198394775,0.34789592027664185,0.3183401823043823,0.16048024594783783,0.320023775100708,1.0456658601760864,0.9653815031051636,0.0,0.9297205805778503,0.9185069799423218
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,left_lower_leg,582,0.06492223590612411,0.25479841232299805,0.18533280491828918,0.39382168650627136,0.3562086522579193,0.1536654829978943,0.2712812125682831,0.24851997196674347,0.08343495428562164,0.22404345870018005,0.405810683965683,0.17982378602027893,0.0,0.9297205805778503,0.9185069799423218
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,right_lower_leg,582,0.05720178782939911,0.2391689568758011,0.17797474563121796,0.3688672184944153,0.4434119164943695,0.303132563829422,0.24362342059612274,0.21908344328403473,0.09025374799966812,0.22458703815937042,0.3869918882846832,0.21367685496807098,0.0,0.9297205805778503,0.9185069799423218
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,head,582,0.06646962463855743,0.25781702995300293,0.1882140189409256,0.39785996079444885,0.5119825005531311,0.3381884694099426,0.2533508837223053,0.24957679212093353,0.07524694502353668,0.23981830477714539,0.4463825523853302,0.26149415969848633,0.0,0.9297205805778503,0.9185069799423218
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,pelvis,582,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9297205805778503,0.9185069799423218
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::offset_aug_overlay,overall,582,0.00783604010939598,0.08852141350507736,0.05398470535874367,0.11061279475688934,0.9914780855178833,0.6832541227340698,0.056436631828546524,0.07179597020149231,0.04456016421318054,0.045597970485687256,0.4289051592350006,0.4164995849132538,0.0,0.9624308347702026,0.9707458019256592
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::offset_aug_overlay,left_forearm,582,0.007835759781301022,0.08851982653141022,0.05398230254650116,0.1106128990650177,0.9973357915878296,0.8222649693489075,0.055672235786914825,0.07179388403892517,0.04455435276031494,0.04559865966439247,0.9750022292137146,0.9799951314926147,0.0,0.9624308347702026,0.9707458019256592
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::offset_aug_overlay,right_forearm,582,0.007836181670427322,0.08852221071720123,0.05398383364081383,0.11061472445726395,0.9967716336250305,0.8782481551170349,0.056309618055820465,0.07179388403892517,0.04455794394016266,0.04559967666864395,0.8671337366104126,0.8707833886146545,0.0,0.9624308347702026,0.9707458019256592
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::offset_aug_overlay,left_lower_leg,582,0.00783597957342863,0.0885210707783699,0.053983524441719055,0.11061301827430725,0.7354456782341003,0.522163987159729,0.04939518868923187,0.07179674506187439,0.04455987736582756,0.04559395834803581,0.15158790349960327,0.1468420922756195,0.0,0.9624308347702026,0.9707458019256592
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::offset_aug_overlay,right_lower_leg,582,0.007835427299141884,0.08851794898509979,0.053984373807907104,0.11060640960931778,0.8504104018211365,0.6112388968467712,0.048175543546676636,0.07179619371891022,0.04455895349383354,0.04559796676039696,0.18967273831367493,0.18052351474761963,0.0,0.9624308347702026,0.9707458019256592
